id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
4227,09-10-2011 16.05,North,Email,Seasonal,Premium,24.9,4.15,0.206,139,3168,0.0587,3.33,-0.366025404,60,4302.23,93.44598704
4228,14-07-2010 12.19,Norht,Social Media,Stationery,Premium,10.5,0.42,0.1806,100,2142,0.054,1.73,-1.366025404,21,1422.3,208.4843605
4229,01-09-2011 17.20,North,Search,Kitchen,Premium,61.2,2.55,0.3023,402,3589,0.0676,5.7,-1,7,229494.74,107.9605399
4230,01-03-2010 12.31,North,Social Media,General,Premium,10.2,0.85,0.2325,37,943,0.0494,7.08,1,21,,126.2797059
4231,17-06-2010 17.41,North,TV,Kitchen,Premium,17.88,1.49,0.3249,113,654,0.1042,4.6,-1,14,2432.79,83.10138974
4232,26-10-2010 14.38,North,Influencer,Stationery,Premium,30.6,2.55,0.0441,444,5575,0.0821,2.02,-0.366025404,14,5831.91,179.0142522
4233,25-11-2011 15.47,NORTH,TV,General,Premium,7.25,1.45,0.0486,306,5313,0.0197,0.69,0.366025404,30,9386.88,159.0288011
4234,12-10-2011 9.50,North,TV,General,Premium,19.9,9.95,0.3946,103,1573,0.036,2.53,-0.366025404,28,253002.64,67.24375363
4235,22-06-2011 16.16,Norht,Social_Media,General,Standard,,0.42,0.0685,153,3858,0.0671,5.61,-1,30,158.8,208.362345
4236,11-10-2010 13.17,North,Affiliate,General,Premium,2.1,2.1,0.1651,166,3558,0.0441,5.78,-0.366025404,60,1332.03,95.25032298
4237,06-12-2010 13.53,North,TV,Storage,Premium,4.4,0.55,0.4011,570,16263,0.0431,4.81,1,14,6983.96,185.3206722
4238,16-01-2011 16.25,North,Social Media,Seasonal,Premium,5.95,5.95,0.1459,661,24035,0.1008,4.62,1.366025404,60,4503.72,156.9586702
4239,05-09-2010 13.41,North,Influencer,Storage,Standard,39,1.95,0.2593,506,14062,0.0084,0.41,-1,28,598.15,146.707392
4240,11-10-2011 13.13,North,Search,Stationery,Premium,2.5,1.25,0.6,163,4520,0.0095,6.4,-0.366025404,14,7066.38,92.35291372
4241,12-12-2010 13.47,North,Influencer,Seasonal,Budget,2.5,1.25,0.266,162,3584,0.1004,3.57,1,21,3.35,154.6642331
4242,24-05-2010 10.44,North,Affiliate,Stationery,Premium,7.8,0.65,0.2113,81,1050,0.1591,4.33,-0.366025404,90,1533.98,175.6146468
4243,16-05-2011 12.20,North,Search,General,Premium,19.8,4.95,0.096,423,12466,0.0444,8.08,-0.366025404,28,,94.08737213
4244,16-06-2011 18.40,North,TV,Kitchen,Premium,142.8,2.55,0.1724,122,2195,0.0505,4.74,-1,60,112932.28,75.43841938
4245,16-02-2010 11.13,North,Social Media,General,Standard,15.6,1.95,0.4793,472,13819,0.1105,2.89,1.366025404,,46.8,173.9087731
4246,21-06-2010 16.23,North,Social Media,General,Premium,15.3,2.55,0.2126,461,19620,0.0264,5.83,-1,21,1028.19,89.82685394
4247,17-05-2011 12.25,North,Email,Storage,Premium,5.04,0.42,0.2968,61,574,0.0783,3.98,-0.366025404,90,1268.18,164.1285965
4248,05-12-2010 14.19,North,Search,Seasonal,Premium,25.2,2.1,,392,7243,0.0276,4.89,1,,12462.78,140.705359
4249,25-04-2010 11.52,North,TV,General,Budget,4.95,4.95,0.3392,115,3858,0.0141,4.9,0.366025404,90,96.93,65.57599702
4250,15-10-2010 12.52,North,Social Media,Storage,Premium,8.95,8.95,0.2433,,3424,0.1087,1.21,-0.366025404,90,6332.06,138.329478
4251,27-05-2011 12.29,North,Social_Media,Storage,Premium,2.08,185.907386,0.1809,450,7610,0.0249,,-0.366025404,14,1154.76,49.45603598
4252,18-08-2011 11.40,North,Email,General,Budget,12.6,2.1,0.0286,228,4999,0.0978,3.21,-1.366025404,30,,111.2666485
4253,09-08-2010 13.10,North,Search,General,Premium,85,0.17,0.4042,13,272,0.0339,2.55,-1.366025404,60,3966.91,114.1862051
4254,04-03-2010 12.24,North,SocialMedia,General,Premium,3.75,3.75,0.2614,313,3159,0.0388,2.92,1,60,1525.08,111.8485388
4255,02-09-2010 14.52,North,Social Media,General,Premium,,3.25,0.2269,184,3145,0.0751,2.03,-1,28,2639.78,107.1065562
4256,18-02-2010 10.26,North,Search,Storage,Premium,11.9,5.95,0.1888,7,315,0.0151,4.92,1.366025404,28,669.89,72.21497664
4257,14-01-2010 12.11,North,Search,General,Premium,9.75,1.95,0.5603,593,18479,0.0319,7.83,1.366025404,28,407.95,128.5497784
4258,07-10-2011 14.23,North,Email,General,Premium,17.85,5.95,0.0372,159,2430,0.0306,5.46,-0.366025404,,10766.84,86.57991149
4259,06-04-2011 17.25,North,Email,Kitchen,Budget,3.75,3.75,0.1385,226,7819,0.0537,1.79,0.366025404,7,11.35,87.28257229
4260,31-10-2011 11.37,North,Email,Stationery,Premium,9.9,4.95,0.1995,25,1031,0.0015,1.29,-0.366025404,30,,67.7790513
4261,04-10-2010 17.07,North,Social Media,General,Premium,1.7,0.85,0.454,798,25595,0.0916,4.6,-0.366025404,28,193.39,200.9862879
4262,22-03-2010 14.50,North,Affiliate,Storage,Premium,15,1.25,0.118,20,315,0.0303,1.45,1,14,1212,109.9180073
4263,26-05-2010 14.43,North,Influencer,General,Premium,15,1.25,0.588,76,2121,0.0303,2.17,-0.366025404,21,6184.36,118.7676054
4264,24-05-2011 11.46,North,TV,General,Premium,33.9,16.95,,189,5809,0.1313,5.58,-0.366025404,14,8042.18,93.93760493
4265,23-02-2011 10.44,North,Search,Seasonal,Premium,12.5,1.25,0.4291,189,4282,0.2789,1.91,1.366025404,30,10509.08,269.495061
4266,06-09-2010 14.10,North,Social Media,General,Premium,19.8,1.65,0.4295,685,12909,0.0502,4.91,-1,7,3930.36,120.8576567
4267,24-02-2011 16.30,North,Influencer,General,Premium,10.2,0.85,0.2504,,1382,0.0652,2.34,1.366025404,14,37084.29,222.3720124
4268,22-12-2010 14.28,North,Search,General,Premium,,0.12,0.2447,65,876,0.0958,6.31,1,14,580.56,337.8006631
4269,01-02-2010 11.02,East,Affiliate,Storage,Standard,15.8,3.95,0.4391,536,13920,0.048,6.57,1.366025404,30,243.53,71.78093084
4270,22-10-2010 12.26,Norht,Search,Seasonal,Premium,102,4.25,0.0748,657,4235,0.1395,6.13,-0.366025404,60,11022.63,168.7126394
4271,26-07-2011 11.38,North,Affiliate,General,Premium,9.96,0.83,0.4826,175,2646,0.0168,7.48,-1.366025404,21,5816.88,93.80316336
4272,27-07-2011 9.32,West,Search,General,Premium,165,1.65,0.3057,440,20571,0.0389,,-1.366025404,21,14399.91,103.3153376
4273,11-04-2011 16.35,North,Search,Storage,Premium,2.55,2.55,0.6,,7052,0.0441,6.12,0.366025404,21,6611.37,84.99853643
4274,21-06-2011 10.48,North,Social Media,General,Premium,2.55,2.55,0.4611,48,1357,,3.99,-1,30,7047.69,80.88264257
4275,20-12-2010 14.59,North,Search,Kitchen,Premium,45,1.25,0.1207,207,4956,0.0265,1.96,1,90,8669.8,194.845497
4276,24-08-2010 13.03,North,Social Media,Storage,Premium,16.95,16.95,0.4025,142,1140,0.1297,1.26,-1.366025404,,52.35,69.12368207
4277,04-12-2011 11.56,North,Affiliate,General,Premium,25,12.5,0.1853,87,2433,0.0246,4.48,1,60,12503.23,80.87605626
4278,06-01-2011 11.12,West,Email,General,Premium,138.24,0.72,0.5418,249,6924,0.0704,8.07,1.366025404,14,26476.02,187.311377
4279,13-05-2011 15.25,North,Search,General,Premium,15,1.25,0.2176,130,4342,0.0713,4.17,-0.366025404,60,9654.83,151.3481068
4280,29-01-2010 14.37,North,Affiliate,Storage,Premium,10.2,0.85,0.3069,344,10037,0.0449,6.35,1.366025404,60,2037.6,157.2138554
4281,21-08-2011 14.00,North,Search,General,Premium,19.8,1.65,0.3663,93,1524,0.0414,3.11,-1.366025404,21,1899.93,91.14511392
4282,16-11-2010 13.04,North,Influencer,General,Budget,4.95,4.95,0.2017,445,11261,0.1846,5.68,0.366025404,60,48.8,137.8406789
4283,18-07-2010 11.49,North,TV,General,Budget,1.45,1.45,0.0341,95,1828,0.0419,5.01,-1.366025404,7,172.39,72.06604151
4284,09-12-2010 14.10,North,Search,General,Premium,2.1,2.1,0.1805,,510,0.034,2.61,1,14,61.65,128.0378401
4285,01-12-2011 19.42,North,Email,Storage,Premium,3.38,1.69,0.2097,122,3147,0.004,4.6,1,7,68672.63,94.44110664
4286,01-12-2011 14.37,North,Email,Seasonal,Premium,16.5,1.65,0.4262,201,6900,0.007,6.35,1,60,3724.35,130.8415194
4287,14-01-2010 14.29,North,Social Media,General,Premium,23.6,2.95,0.2576,383,10642,0.0081,,1.366025404,60,352.03,122.0612579
4288,23-03-2011 14.39,North,Search,Storage,Premium,165,1.65,0.2249,371,11421,0.0672,5.15,1,60,149312.57,213.4092981
4289,11-09-2011 11.04,North,Search,Storage,Standard,10.4,0.65,0.2171,524,16687,0.0079,3.77,-1,14,2241.55,170.3632128
4290,28-09-2011 14.57,North,Search,Storage,Premium,20,1.25,,52,1937,0.0572,4.93,-1,90,247087.98,105.2362748
4291,25-01-2010 11.32,North,Search,General,Budget,17.7,2.95,0.0597,104,1143,0.1426,0.68,1.366025404,7,68.95,164.0336774
4292,16-08-2011 11.04,North,Email,Kitchen,Premium,60,1.25,0.1295,104,845,0.0445,2.59,-1.366025404,14,4663.42,94.64617539
4293,21-12-2009 9.00,North,Affiliate,Storage,Budget,16.5,1.65,0.2484,845,29140,0.0595,7.75,1,7,270.18,133.209337
4294,24-05-2011,North,Social Media,Stationery,Standard,5.04,0.42,0.123,244,8108,0.0706,6.54,-0.366025404,7,694.03,228.8566361
4295,15-10-2010 15.06,North,Social Media,Seasonal,Premium,3.75,1.25,0.1429,23,352,0.1139,5.1,-0.366025404,60,15422.57,137.9630142
4296,06-11-2011 12.20,North,Email,Stationery,Premium,12.48,2.08,0.1166,43,923,0.0936,4.53,0.366025404,60,3118.62,124.9401026
4297,22-05-2011 10.39,North,Email,Lighting,Premium,17.7,2.95,0.2752,125,3505,0.0403,4.48,-0.366025404,14,2915.11,95.11709765
4298,09-06-2010 14.09,North,TV,Storage,Premium,3.95,3.95,0.0635,292,7468,0.0817,5.27,-1,28,228.87,76.26980082
4299,09-12-2010 9.34,North,Search,Seasonal,Standard,12.75,4.25,0.1171,358,9171,0.0925,4.09,1,14,404.9,130.2111868
4300,04-06-2010 12.50,NORTH,Email,Storage,Premium,4.5,2.25,0.302,118,2434,0.0077,1.91,-1,14,1049.57,78.88334718
4301,08-10-2010 12.14,North,TV,Stationery,Premium,10.5,0.42,0.0444,46,2088,0.0394,3.09,-0.366025404,60,1067.66,141.9971326
4302,06-10-2010 13.25,North,Social Media,General,Premium,23.4,1.95,0.013,98,1029,0.0124,4.32,-0.366025404,28,1974.88,111.7143176
4303,22-11-2011 12.47,North,Search,General,Premium,3.75,3.75,0.1478,160,2417,0.0174,2.41,0.366025404,7,1345.14,111.6741969
4304,28-11-2010 11.37,North,Social Media,General,Premium,,1.25,0.099,89,4114,,3.65,0.366025404,14,7129.52,141.6994975
4305,19-07-2011,North,Influencer,Storage,Premium,6.64,0.83,0.0251,323,3282,0.0302,4.77,-1.366025404,30,11857.01,173.5199019
4306,06-10-2010 12.36,North,Social Media,General,Premium,,0.42,0.1267,111,2328,0.058,3.96,-0.366025404,90,6187.92,226.2610084
4307,28-03-2010 12.55,North,Search,General,Premium,8.85,222.6294085,0.2319,325,4420,0.0936,2.31,1,,19.65,89.69338536
4308,11-11-2011 12.44,North,Email,General,Premium,1.95,1.95,0.386,261,4522,0.0335,5.58,0.366025404,60,7495.11,106.8472736
4309,15-07-2010 15.32,North,Social Media,Storage,Premium,23.4,1.95,0.0676,456,8022,0.0014,5.91,-1.366025404,,7417.26,97.61735376
4310,21-09-2010 12.36,North,Affiliate,Storage,Premium,19.5,1.95,0.322,549,6039,0.0167,0.05,-1,90,12297.48,141.137429
4311,10-12-2010 11.11,North,TV,General,Premium,1.45,1.45,0.0568,95,737,0.1654,0.9,1,30,103.99,133.7976367
4312,18-03-2011 13.19,North,Search,General,Premium,5.1,0.85,0.1529,149,1844,0.0236,3.18,1,,1796.57,168.7317001
4313,29-07-2010 13.28,North,Influencer,Storage,Premium,6.6,1.65,,705,16734,0.0839,1.89,-1.366025404,21,2748.94,166.1221303
4314,10-12-2009 10.42,North,Email,General,Premium,17.4,1.45,0.1804,406,5160,0.0762,4.04,1,60,267.45,171.487388
4315,25-04-2010 13.40,North,Influencer,General,Standard,2.95,2.95,0.2857,189,3257,0.0024,6.33,0.366025404,90,354.47,96.91086548
4316,14-03-2010 13.43,North,Search,General,Premium,4.95,1.65,0.2769,117,3885,0.0301,6.92,1,14,377.49,107.9191299
4317,19-07-2011 10.51,West,Search,General,Premium,4.95,4.95,0.0825,640,8656,0.0158,,-1.366025404,7,96674.79,75.63826412
4318,14-07-2010 12.29,North,Search,General,Premium,0.85,0.85,0.2057,257,4676,0.0099,7.15,-1.366025404,90,310.42,150.5000337
4319,12-03-2010 13.07,North,TV,General,Premium,15.6,1.95,0.0496,526,10349,0.0126,2.16,1,28,775.7,125.8618684
4320,08-03-2011 16.48,North,Search,General,Standard,20.28,1.69,0.1157,234,2107,0.1939,2.38,1,,118.08,207.7603429
4321,27-11-2011 13.41,North,social Media,Storage,Premium,1.65,1.65,0.0899,845,13698,,2.54,0.366025404,30,2260.54,182.1247473
4322,04-03-2011 14.52,North,Affiliate,General,Premium,5.04,0.42,0.0214,111,1052,0.0523,4.68,1,30,4149.4,194.7883346
4323,24-08-2010 14.46,North,Influencer,Seasonal,Premium,10.2,0.85,0.2914,178,1991,0.0479,8.37,-1.366025404,7,2562.7,116.4000382
4324,29-09-2011 12.12,East,Influencer,Storage,Standard,23.4,1.95,0.1533,456,4614,0.1407,7.06,-1,60,1237.72,148.1823762
4325,30-11-2011 17.37,North,Email,General,Standard,2.89,2.89,0.3121,32,629,0.0397,1.43,0.366025404,60,746.07,94.16542976
4326,21-07-2011 12.33,North,Email,Lighting,Premium,2.55,2.55,0.0183,300,3893,0.0881,2.37,-1.366025404,28,96023.92,129.1000778
4327,02-12-2011 14.26,North,Search,General,Premium,4.95,4.95,0.0969,640,9625,0.1516,4.43,1,28,1368.93,144.731392
4328,27-05-2011 13.30,North,TV,General,Standard,931.6510782,5.95,0.2272,130,1389,0.0427,7.2,-0.366025404,,824.45,71.37878948
4329,15-10-2010 14.50,North,Search,Kitchen,Premium,17.7,2.95,0.2934,138,1617,0.0224,2.05,-0.366025404,28,636.56,106.6418075
4330,16-02-2011 9.11,NORTH,Affiliate,Storage,Premium,8.5,0.85,0.4068,524,6795,0.08,0.88,1.366025404,90,,207.2464591
4331,24-06-2010 11.42,North,Social_Media,Storage,Premium,16.5,1.65,0.0274,585,10191,0.0431,3.83,-1,30,1756.26,147.4774501
4332,05-01-2011 17.33,North,Email,Storage,Premium,15.8,3.95,,536,8653,0.0722,4.54,1.366025404,28,27343.94,128.648579
4333,18-11-2011 10.58,North,Social Media,Seasonal,Premium,0.85,0.85,0.182,304,10284,,3.9,0.366025404,90,65048.56,195.4894025
4334,19-05-2011 15.15,North,Influencer,General,Premium,59.7,9.95,0.0781,201,1726,0.1179,1.85,-0.366025404,28,2120.3,147.8036854
4335,05-01-2011 10.45,North,TV,General,Premium,187.2,1.95,0.3494,131,2340,0.0463,2.19,1.366025404,7,43175.88,117.6600319
4336,25-10-2011 12.12,North,Social Media,Seasonal,Premium,3.75,1.25,0.2175,51,1501,0.0313,3.1,-0.366025404,7,,114.1112055
4337,11-09-2011 10.42,North,Social Media,Seasonal,Premium,175.2,10.95,0.4136,471,8073,0.0274,7.39,-1,28,29065.28,32.54232284
4338,05-06-2011 14.18,North,Search,Storage,Premium,13.2,1.65,0.0784,333,8472,0.05,5.04,-1,30,1400.84,126.4373726
4339,24-07-2011 15.39,North,Social Media,Storage,Premium,46.8,1.95,0.0492,,8852,0.0507,2.57,-1.366025404,30,5434.01,128.7238395
4340,02-11-2011 12.45,North,Influencer,Kitchen,Premium,0.55,0.55,0.2563,322,8031,0.1362,,0.366025404,28,61583.72,276.839256
4341,09-12-2009 16.00,North,TV,Storage,Premium,19.9,9.95,0.354,147,4125,0.1027,1.24,1,60,256.2,101.7103474
4342,27-10-2011 13.33,North,Social Media,Seasonal,Standard,5.9,2.95,0.1202,896,90289,0.0746,3.45,-0.366025404,30,,149.2298655
4343,05-12-2011 15.48,North,Email,General,Budget,3.48,0.29,0.0378,7,98,0.1413,1.36,1,90,59.46,140.4146751
4344,10-10-2011 16.03,North,Email,General,Premium,7.5,3.75,0.2272,134,3748,0.0245,7.43,-0.366025404,30,3299.64,75.3194653
4345,21-11-2010 11.52,North,Search,Seasonal,Premium,19.9,9.95,0.0341,420,11778,0.1159,3.58,0.366025404,30,6429.74,156.3193542
4346,15-10-2010 12.52,North,Search,Seasonal,Premium,5.8,1.45,0.108,341,10629,0.0092,4.07,-0.366025404,21,6227.16,135.9569058
4347,25-02-2010 9.16,North,TV,Kitchen,Premium,15.3,2.55,0.0995,169,7094,0.0202,2.62,1.366025404,30,604.86,99.72392945
4348,05-12-2011 17.13,North,TV,General,Premium,9.36,243.8539419,0.2163,21,736,0.0071,2.17,1,90,2261.57,71.66399092
4349,21-06-2010 14.49,North,Search,Storage,Premium,35.4,2.95,0.3803,744,8593,0.0371,2.85,-1,7,1501.72,98.50362967
4350,08-12-2009 13.41,North,Social Media,Seasonal,Premium,3.4,0.85,0.013,178,3665,0.0422,6.03,1,28,271.42,190.7602599
4351,18-08-2010 9.45,North,Search,General,Premium,23.4,1.95,0.1611,475,15265,0.0589,4.3,-1.366025404,21,2095.72,110.223826
4352,16-08-2010 16.54,Nort,Search,General,Premium,23.85,7.95,0.1114,352,9830,0.0156,6.36,-1.366025404,7,9835.91,36.08750381
4353,05-12-2011 12.16,North,Search,Stationery,Premium,4.95,4.95,0.0698,254,4327,0.0496,5.82,1,30,3344.74,115.2351274
4354,12-09-2011 13.43,North,Social Media,General,Premium,25,1.25,0.3062,159,3366,0.0487,3.53,-1,14,10693.35,122.5590854
4355,18-07-2010 12.20,North,Affiliate,General,Premium,1.25,1.25,0.4116,273,3480,0.0914,6.72,-1.366025404,28,543.29,99.02678118
4356,27-05-2010 18.13,North,Search,General,Premium,1.25,1.25,0.3311,306,12774,0.0316,2.01,-0.366025404,7,14315.03,136.8539402
4357,16-12-2010 11.36,North,Email,Storage,Premium,559.2,34.95,0.3172,151,2391,0.051,0.93,1,60,9430.08,147.0761199
4358,13-12-2009 14.01,North,TV,Stationery,Premium,0.42,0.21,0.1008,67,1636,0.2535,0.27,1,7,252.5,228.1090612
4359,12-05-2011 9.54,North,Search,Storage,Standard,35.4,2.95,0.0552,401,13552,0.1536,,-0.366025404,7,4446.62,157.2735236
4360,14-11-2011 12.47,North,Social Media,General,Budget,,1.65,,541,10999,0.0382,,0.366025404,7,,154.0600932
4361,07-07-2010 16.14,North,Affiliate,General,Premium,7.5,3.75,0.2032,100,1991,0.0651,3.4,-1.366025404,14,2467.93,57.37119575
4362,09-04-2010 8.05,North,Email,Lighting,Premium,60,1.25,0.0189,441,9812,0.0189,0.44,0.366025404,30,,212.9066859
4363,06-11-2011 10.44,North,Affiliate,Stationery,Premium,1.68,0.42,0.1294,86,1578,0.0339,2.48,0.366025404,21,3754.84,177.3184105
4364,18-05-2010 11.53,North,Email,Seasonal,Premium,5,1.25,0.0753,601,34645,0.0903,1.62,-0.366025404,60,4218.33,194.6122866
4365,19-09-2010 14.03,North,Email,Storage,Premium,3.75,1.25,0.3555,446,10305,,4.54,-1,,2866.46,113.6555694
4366,17-09-2010 13.08,North,Social Media,General,Premium,8.25,1.65,0.43,512,23715,0.0229,1.82,-1,90,1828.7,141.0995022
4367,20-04-2011 17.10,North,Affiliate,Seasonal,Premium,1.25,1.25,0.1786,601,8273,0.0132,3.07,0.366025404,90,947.4,156.0262911
4368,04-03-2010 12.32,North,Email,General,Premium,14.85,4.95,0.2697,208,11419,0.0964,7.9,1,14,1113.24,102.8661252
4369,15-01-2010 10.24,North,Affiliate,General,Premium,150,1.25,0.2343,13,618,0.0121,4.22,1.366025404,7,31007.15,83.24382442
4370,14-04-2011 8.49,North,Social Media,General,Premium,59.4,4.95,0.2361,894,19640,0.0093,3.37,0.366025404,,22754.01,149.4655792
4371,19-11-2010 13.09,North,Social Media,Stationery,Standard,17.7,2.95,0.1072,701,11373,0.0905,2.41,0.366025404,14,,184.9403809
4372,25-11-2011 13.23,North,Affiliate,Lighting,Premium,1.95,1.95,0.281,94,820,0.01,5.17,0.366025404,7,10573.49,77.89669865
4373,17-03-2011 12.15,North,Social Media,General,Premium,76.32,1.06,0.1711,641,9924,0.0087,6.43,1,21,8901.69,211.1681892
4374,11-12-2009 12.11,North,Influencer,General,Premium,3.9,1.95,0.075,111,1535,0.0102,6.44,1,14,721.45,108.7479474
4375,16-11-2010 13.57,Norht,Influencer,General,Premium,6.98,107.5844797,0.1844,78,2132,0.0946,4.74,0.366025404,30,6938.6,112.5037124
4376,22-11-2010 11.37,North,Social Media,General,Premium,15.3,2.55,0.3005,601,13898,,4.12,0.366025404,28,,148.2020813
4377,14-10-2011 12.08,North,Social Media,Seasonal,Standard,16.5,1.65,0.1092,207,1879,0.0116,3.92,-0.366025404,7,401.48,127.1888725
4378,10-01-2010 14.21,North,Social Media,General,Premium,15.3,2.55,0.1763,461,8423,0.0158,,1.366025404,14,1737.81,133.6895227
4379,02-06-2011 12.04,North,Email,General,Premium,15.3,2.55,0.3209,398,6604,0.0099,2.34,-1,21,1094.35,84.28997231
4380,28-05-2010 9.36,North,Search,General,Premium,29.7,4.95,0.1523,,2810,0.0367,5.66,-0.366025404,21,858.01,98.38531661
4381,28-02-2011 15.00,North,Affiliate,Storage,Premium,15,1.25,0.0739,525,11292,0.0811,2.23,1.366025404,14,430.57,169.7560818
4382,26-01-2011 12.40,North,Search,Storage,Premium,2.95,2.95,0.0765,701,19691,0.0808,3.87,1.366025404,28,1600.86,153.5014679
4383,20-11-2011 14.33,North,Social Media,General,Standard,2.5,1.25,0.1819,431,6009,0.0365,3.42,0.366025404,60,398.44,177.3304823
4384,04-01-2011 12.51,North,TV,General,Premium,1660.611849,2.95,0.3521,13,248,0.1739,7.71,1.366025404,,32597.44,141.7148529
4385,19-03-2010 14.41,North,Social Media,General,Premium,9.9,4.95,0.0188,131,4316,0.0216,5.09,1,90,,123.6748094
4386,30-11-2010 9.50,North,Email,General,Premium,15,3.75,0.1291,362,4196,0.1389,4.39,0.366025404,60,,141.498602
4387,11-05-2011 10.42,North,Social Media,Seasonal,Premium,20.4,252.9954531,0.2024,320,13068,0.0187,1.59,-0.366025404,21,1025.09,72.52613191
4388,19-10-2010 10.23,North,Search,General,Premium,102,8.5,0.1358,148,2141,0.0015,1.69,-0.366025404,21,2020.19,107.1771768
4389,07-05-2010 13.29,North,Affiliate,General,Premium,30,1.25,0.4769,284,5819,0.0687,2.03,-0.366025404,14,17145.9,152.5340533
4390,09-10-2011 12.20,North,Email,Stationery,Premium,16.8,0.42,0.1646,95,1809,0.0761,2.36,-0.366025404,30,12746.76,196.9316131
4391,15-12-2010 12.01,North,TV,Seasonal,Standard,15,1.25,0.3456,,563,0.0399,5.24,1,21,240.88,120.0919479
4392,11-03-2010 12.22,Norht,Search,General,Premium,30,1.25,0.1926,490,29845,0.0353,3.79,1,90,124.89,201.1230393
4393,22-03-2010 9.19,North,Influencer,Stationery,Premium,5.04,0.42,0.0074,335,6685,0.0393,8.06,1,90,399.42,297.6316849
4394,20-10-2010 10.10,North,Email,Stationery,Premium,23.4,0.65,0.184,363,8622,0.0306,5.44,-0.366025404,60,400.95,203.2866895
4395,11-01-2011 10.38,North,Email,Storage,Premium,88.8,1.85,0.2316,131,1375,0.0147,8.72,1.366025404,60,16450.7,124.6722071
4396,17-07-2011 14.51,North,Social Media,General,Premium,0.29,0.29,0.1139,406,15524,,5.46,-1.366025404,28,198.77,323.1648262
4397,15-06-2011 12.07,North,Email,Storage,Standard,5.95,5.95,0.3393,334,9804,0.1087,3.52,-1,28,1575.82,96.31293633
4398,12-05-2011 14.46,North,Social Media,Lighting,Standard,129.36,5.39,0.0445,271,4769,0.0373,2.31,-0.366025404,28,4079.26,140.8294163
4399,24-06-2010 12.49,North,Search,General,Premium,5.95,5.95,0.0467,211,5679,0.1581,,-1,28,15385.72,124.713337
4400,01-07-2011 10.58,North,Search,General,Premium,0.65,0.65,0.0642,370,6607,0.0286,4.26,-1.366025404,90,423.3,209.1162629
4401,07-10-2010 11.53,North,Influencer,General,Premium,7.5,1.25,0.0104,262,20446,0.0638,4.45,-0.366025404,60,442.05,192.1170777
4402,05-08-2011 17.12,North,Social Media,Storage,Premium,8.32,2.08,0.0741,978,30402,0.0918,3.89,-1.366025404,90,276735.27,192.0939899
4403,11-09-2011 10.57,North,Influencer,General,Premium,17.4,1.45,0.2688,355,10045,0.024,3.03,-1,90,,153.9937363
4404,13-04-2011 15.52,North,Social Media,Storage,Premium,20.8,2.08,,450,6215,0.1265,4.52,0.366025404,90,4983.39,203.6114522
4405,13-12-2010 15.44,North,Search,Lighting,Premium,102,4.25,0.0168,304,12953,0.0319,1.24,1,21,4111.48,175.7407112
4406,27-01-2011 16.13,North,Email,General,Premium,11.9,5.95,0.0524,460,7215,0.0028,3.02,1.366025404,7,4553.81,99.60460932
4407,21-10-2011 10.13,North,TV,Lighting,Premium,15,1.25,0.2659,115,2328,0.0616,4.88,-0.366025404,28,4256.52,94.9045748
4408,04-02-2010 14.13,North,Search,Seasonal,Premium,8.25,1.65,0.136,397,4995,0.076,4.15,1.366025404,14,,161.7922401
4409,28-04-2010 10.58,North,Affiliate,Kitchen,Premium,15.3,2.55,0.0566,324,5718,0.0101,5.97,0.366025404,30,1011.81,106.7744625
4410,08-05-2011 15.22,North,Search,Stationery,Premium,2.5,1.25,0.036,153,4321,0.0234,2.62,-0.366025404,90,910.54,154.1423989
4411,01-07-2011 14.53,North,Social Media,Storage,Premium,23.4,1.95,0.2139,222,5090,0.0064,1.75,-1.366025404,90,,116.8981588
4412,05-04-2011 10.07,North,Search,General,Premium,17.4,1.45,0.2107,346,2832,0.0411,5.41,0.366025404,21,9602.28,164.8070074
4413,05-08-2010 14.57,North,Influencer,General,Premium,4.2,2.1,0.33,684,22786,0.0383,3.2,-1.366025404,60,232.75,116.7736305
4414,29-06-2010 14.49,North,Social Media,Storage,Premium,16.5,1.65,0.1926,845,21050,0.0134,3.4,-1,60,8950.57,148.6774062
4415,09-10-2011 11.29,North,Search,General,Premium,1.25,1.25,0.2072,105,2896,0.1035,1.93,-0.366025404,60,7274.26,160.7286273
4416,14-11-2011 11.33,North,Influencer,General,Premium,1.7,0.85,0.1779,316,5349,0.0458,1.76,0.366025404,21,1452.35,219.6693508
4417,28-08-2011 15.01,North,Influencer,Seasonal,Premium,0.63,0.63,0.2915,67,1112,0.0294,2.86,-1.366025404,90,3880.21,148.9166684
4418,11-06-2010 12.22,North,TV,Seasonal,Premium,12.75,12.75,0.1979,162,1745,0.0772,2.25,-1,,175.78,54.26215479
4419,13-09-2011 9.43,North,Email,Stationery,Premium,17,4.25,0.2203,108,2477,0.0658,3.53,-1,21,3238.29,80.13810944
4420,01-06-2011 13.52,North,Social Media,Storage,Standard,797.414678,2.95,0.0138,1490,85726,0.1325,6.3,-1,14,1351.38,132.1470098
4421,14-03-2011 15.11,North,Social Media,General,Premium,25.5,4.25,0.1649,39,459,0.0128,2.43,1,21,172811.75,111.6353267
4422,13-07-2011,North,Influencer,General,Premium,22.5,3.75,0.0763,153,1683,0.0087,0.34,-1.366025404,28,2268,114.6359572
